BeerID,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,SugarScale,BrewMethod,PitchRate,PrimaryTemp,PrimingMethod,PrimingAmount
73750,86,18.93,1.078,1.018,7.85,99.74,5.79,13.25,60,1.111,72,1.6,Specific Gravity,All Grain,N/A,19.44,N/A,N/A
17548,10,40,12.0361,2.12436,5.28,40.2,7.46,41,60,11.8,63,4.2,Plato,All Grain,N/A,20,N/A,N/A
66483,10,20.82,1.053,1.014,5.13,55.03,6.47,22.71,60,1.044,35,N/A,Specific Gravity,extract,0.5,N/A,N/A,N/A
3777,170,25,1.07,1.007,8.3,44.81,5.29,28.5,60,1.062,85,3,Specific Gravity,All Grain,0.5,23,N/A,N/A
66465,63,12,1.102,1.027,9.91,54.97,20.04,24,60,1.051,43,2.7,Specific Gravity,All Grain,0.75,N/A,Bottle priming,55g table sugar
6335,22,18.93,1.06,1.012,6.29,0,17.71,22.71,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
26816,4,4.73,1.076,1.02,7.36,30.06,15.25,8.52,75,1.042,75,N/A,Specific Gravity,BIAB,0.75,16.67,N/A,N/A
3565,20,35,1.054,1.009,5.89,23.75,4.11,50,90,1.038,60,3,Specific Gravity,All Grain,0.35,20,N/A,N/A
42303,134,41.64,1.047,1.009,4.9,22.87,3.48,54.89,90,1.035,65,1.5,Specific Gravity,All Grain,0.75,N/A,N/A,N/A
43175,7,23,1.058,1.011,6.21,63.77,7.67,29,75,1.046,69,N/A,Specific Gravity,All Grain,1,18,N/A,N/A
60225,6,22,1.063,1.013,6.68,63.74,22.84,28.5,60,1.049,64,3,Specific Gravity,All Grain,N/A,19,N/A,N/A
21578,10,20.82,1.044,1.007,4.75,24.28,5.62,24.61,60,1.037,75,N/A,Specific Gravity,BIAB,0.35,17.22,N/A,N/A
72367,23,18.93,1.058,1.013,5.89,25.59,4.98,7.57,60,1.082,35,N/A,Specific Gravity,extract,N/A,N/A,N/A,N/A
14992,39,19.87,1.004,1.001,0.36,0,0.82,26.5,60,1.003,60,N/A,Specific Gravity,BIAB,N/A,N/A,N/A,N/A
64191,82,18.93,1.047,1.011,4.8,0,3.71,24.61,60,1.036,60,1.5,Specific Gravity,All Grain,N/A,20,N/A,N/A
58978,151,20.82,1.063,1.016,6.2,74.49,7.94,26.5,60,1.049,65,1.25,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
48756,155,18.93,1.075,1.014,8,17.16,4.17,22.71,60,1.063,80,1.33,Specific Gravity,All Grain,0.35,20,N/A,N/A
61562,7,2560,1.047,1.009,4.96,17.82,3.89,2780,90,1.043,84,3,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
272,10,20.82,1.047,1.013,4.51,46.65,4.68,26.5,60,N/A,75,N/A,Specific Gravity,All Grain,N/A,N/A,N/A,N/A
25003,45,11.36,1.057,1.016,5.45,19.44,4.69,14.2,90,1.046,75,N/A,Specific Gravity,BIAB,N/A,20.56,N/A,N/A
10512,10,20.82,1.052,1.014,5.09,20.17,9.99,28.39,60,1.038,70,1.5,Specific Gravity,All Grain,N/A,22.22,N/A,N/A
